Datetime,wofs_area_percent,wet_percent,green_veg_percent,dry_veg_percent,bare_soil_percent
2013-06-15 07:52:08.150795,96.91,0.96,0.05,1.31,0.78
2013-07-01 07:52:07.976413,96.26,0.98,0.05,1.43,1.28
2013-07-17 07:52:08.151962,95.28,1.13,0.03,1.58,1.99
2013-08-02 07:52:10.098924,94.42,1.06,0.05,2.74,1.73
2013-08-18 07:52:10.890935,85.27,2.19,0.4,8.75,3.39
2013-09-03 07:52:12.173735,90.47,1.76,0.03,1.08,6.66
2013-09-19 07:52:06.400338,89.52,1.48,0.05,3.47,5.48
2013-10-05 07:52:03.036765,88.62,0.98,0.05,2.39,7.97
2013-10-21 07:51:58.331414,87.38,0.96,0.1,2.64,8.92
2013-11-22 07:51:44.929201,83.24,1.06,0.1,5.45,10.15
2013-12-08 07:51:46.344857,85.0,0.96,0.1,7.34,6.61
2014-01-25 07:51:17.130913,92.86,1.23,0.23,4.8,0.88
2014-05-17 07:49:41.374226,97.01,0.8,0.03,1.56,0.6
2014-06-02 07:49:46.744610,95.78,0.96,0.08,2.31,0.88
2014-06-18 07:49:52.598464,94.42,1.41,0.05,3.02,1.11
2014-07-04 07:49:58.041658,93.26,1.48,0.08,2.87,2.31
2014-07-20 07:50:02.308300,92.08,1.33,0.08,3.62,2.89
2014-08-05 07:50:10.372338,91.13,1.21,0.08,1.91,5.68
2014-08-21 07:50:14.442009,89.9,1.28,0.15,1.46,7.21
2014-09-22 07:50:15.627020,86.81,1.28,0.13,1.41,10.38
2014-10-24 07:50:22.922396,85.52,1.03,0.15,5.23,8.07
2014-11-09 07:50:23.856198,83.79,1.03,0.18,3.52,11.49
2014-11-25 07:50:20.965742,83.44,0.9,0.18,3.59,11.89
2014-12-11 07:50:14.512932,83.74,0.68,0.2,3.62,11.76
2015-01-28 07:50:07.061490,95.43,2.06,0.2,0.33,1.99
2015-02-13 07:49:58.516367,97.21,1.01,0.25,1.08,0.45
2015-03-17 07:49:45.200590,94.19,1.66,0.18,2.39,1.58
2015-04-18 07:49:32.563636,94.87,1.21,0.3,2.09,1.53
2015-05-20 07:49:12.459698,92.49,1.21,0.15,2.81,3.34
2015-06-21 07:49:28.698699,90.63,1.26,0.2,2.14,5.78
2015-07-07 07:49:38.116935,90.55,0.83,0.15,5.15,3.32
2015-07-23 07:49:45.343779,88.24,1.16,0.15,2.19,8.27
2015-08-08 07:49:48.180806,87.61,1.13,0.18,2.29,8.8
2015-09-09 07:50:02.478251,85.05,0.7,0.08,2.06,12.11
2015-09-25 07:50:09.525497,82.51,0.93,0.03,2.34,14.2
2015-10-11 07:50:10.563673,82.46,0.45,0.08,4.5,12.52
2015-12-30 07:50:16.748302,86.1,0.75,0.23,4.35,8.57
2016-02-16 07:50:04.962792,99.22,0.33,0.1,0.35,0.0
2016-03-03 07:50:03.182265,98.14,0.8,0.13,0.78,0.15
2016-03-19 07:49:57.486096,99.04,0.38,0.15,0.43,0.0
2016-05-06 07:49:45.803876,98.89,0.53,0.1,0.45,0.03
2016-06-07 07:49:50.816600,96.86,0.8,0.13,1.73,0.48
2016-06-23 07:49:56.059698,95.93,0.88,0.13,2.24,0.83
2016-07-09 07:50:04.599363,94.3,1.31,0.13,2.16,2.11
2016-07-25 07:50:09.696739,92.74,1.61,0.1,2.29,3.27
2016-08-10 07:50:11.601173,92.13,1.33,0.1,2.26,4.17
2016-08-26 07:50:18.787629,87.41,1.16,2.01,3.44,5.98
2016-09-11 07:50:23.221811,89.09,1.48,0.18,1.61,7.64
2016-09-27 07:50:23.622881,87.64,1.13,0.25,2.56,8.42
2016-10-29 07:50:30.852675,83.99,2.01,0.25,2.99,10.76
2016-11-30 07:50:29.776894,81.68,1.61,0.25,6.43,10.03
2017-01-17 07:50:18.653007,82.76,1.16,0.2,5.96,9.93
2017-02-02 07:50:11.695014,81.65,0.9,2.54,11.44,3.47
2017-02-18 07:50:05.187439,82.61,1.43,0.35,13.45,2.16
2017-03-06 07:49:58.482453,85.32,0.85,0.43,9.02,4.37
2017-03-22 07:49:48.258453,87.33,0.63,0.3,3.52,8.22
2017-06-10 07:49:50.223968,83.71,0.55,0.08,2.56,13.09
2017-06-26 07:49:55.418906,82.86,0.55,0.05,4.8,11.74
2017-07-12 07:49:58.131585,81.48,0.4,0.08,3.59,14.45
2017-07-28 07:50:05.931049,80.25,0.83,0.05,3.37,15.51
2017-08-13 07:50:12.088450,78.86,0.53,0.05,4.27,16.29
2017-08-29 07:50:15.727495,77.53,0.43,0.05,2.71,19.28
2017-09-14 07:50:16.054608,76.3,0.48,0.03,3.17,20.03
2017-09-30 07:50:23.560819,73.91,0.85,0.03,3.37,21.84
2017-10-16 07:50:27.434052,74.29,0.28,0.03,4.45,20.96
2017-11-17 07:50:23.929751,71.83,0.38,0.13,5.3,22.37
2018-01-04 07:50:17.797336,0.0,100.0,0.0,0.0,0.0
2018-02-05 07:50:01.295379,82.03,0.68,0.3,3.54,13.45
2018-03-25 07:49:39.780826,85.47,0.8,0.33,4.57,8.82
2018-05-12 07:49:12.725755,87.01,0.83,0.28,4.75,7.14
2018-05-28 07:49:00.165768,85.55,1.06,0.18,3.44,9.78
2018-06-29 07:49:12.128021,83.54,0.8,0.18,6.21,9.27
2018-07-15 07:49:19.947521,82.43,0.9,0.2,4.8,11.66
2018-08-16 07:49:36.232273,79.37,1.08,0.15,6.89,12.52
