Datetime,wofs_area_percent,wet_percent,green_veg_percent,dry_veg_percent,bare_soil_percent
2013-06-15 07:52:08.150795,0.0,0.0,96.0,4.0,0.0
2013-07-01 07:52:07.976413,0.0,0.0,54.67,44.0,1.33
2013-07-17 07:52:08.151962,0.0,0.0,2.67,97.33,0.0
2013-08-02 07:52:10.098924,0.0,0.0,0.0,100.0,0.0
2013-08-18 07:52:10.890935,0.0,0.0,0.0,100.0,0.0
2013-09-03 07:52:12.173735,0.0,0.0,0.0,100.0,0.0
2013-09-19 07:52:06.400338,0.0,0.0,0.0,100.0,0.0
2013-10-05 07:52:03.036765,0.0,0.0,0.0,100.0,0.0
2013-10-21 07:51:58.331414,0.0,0.0,0.0,100.0,0.0
2013-11-06 07:51:54.587238,0.0,0.0,0.0,73.33,26.67
2013-11-22 07:51:44.929201,0.0,0.0,1.33,86.67,12.0
2013-12-08 07:51:46.344857,0.0,0.0,0.0,100.0,0.0
2014-01-25 07:51:17.130913,0.0,0.0,92.0,8.0,0.0
2014-02-26 07:50:51.722423,0.0,0.0,97.33,2.67,0.0
2014-07-04 07:49:58.041658,0.0,0.0,0.0,100.0,0.0
2014-08-21 07:50:14.442009,0.0,0.0,0.0,100.0,0.0
2014-09-06 07:50:17.673426,0.0,0.0,0.0,100.0,0.0
2014-09-22 07:50:15.627020,0.0,0.0,0.0,100.0,0.0
2014-10-08 07:50:21.634348,0.0,0.0,0.0,100.0,0.0
2014-10-24 07:50:22.922396,0.0,0.0,0.0,100.0,0.0
2014-11-09 07:50:23.856198,0.0,0.0,0.0,98.67,1.33
2014-11-25 07:50:20.965742,0.0,0.0,0.0,96.0,4.0
2014-12-11 07:50:14.512932,0.0,0.0,0.0,94.67,5.33
2014-12-27 07:50:14.469349,90.67,9.33,0.0,0.0,0.0
2015-02-13 07:49:58.516367,97.33,2.67,0.0,0.0,0.0
2015-04-02 07:49:33.007408,78.67,13.33,0.0,4.0,4.0
2015-04-18 07:49:32.563636,74.67,17.33,0.0,4.0,4.0
2015-06-05 07:49:20.614214,49.33,9.33,24.0,10.67,6.67
2015-06-21 07:49:28.698699,37.33,25.33,6.67,12.0,18.67
2015-07-23 07:49:45.343779,0.0,0.0,0.0,56.0,44.0
2015-09-09 07:50:02.478251,0.0,0.0,22.67,38.67,38.67
2015-09-25 07:50:09.525497,0.0,0.0,45.33,26.67,28.0
2015-10-11 07:50:10.563673,0.0,0.0,52.0,41.33,6.67
2015-10-27 07:50:15.547961,0.0,0.0,44.0,52.0,4.0
2015-12-30 07:50:16.748302,52.0,12.0,34.67,1.33,0.0
2016-02-16 07:50:04.962792,98.67,1.33,0.0,0.0,0.0
2016-03-19 07:49:57.486096,78.67,18.67,0.0,2.67,0.0
2016-05-06 07:49:45.803876,72.0,4.0,21.33,0.0,2.67
2016-05-22 07:49:46.235956,46.67,20.0,28.0,1.33,4.0
2016-07-09 07:50:04.599363,1.33,1.33,38.67,25.33,33.33
2016-07-25 07:50:09.696739,0.0,0.0,58.67,10.67,30.67
2016-08-10 07:50:11.601173,0.0,0.0,93.33,4.0,2.67
2016-09-27 07:50:23.622881,0.0,0.0,86.67,13.33,0.0
2016-10-13 07:50:29.014527,0.0,0.0,76.0,24.0,0.0
2016-10-29 07:50:30.852675,0.0,0.0,40.0,60.0,0.0
2016-11-14 07:50:29.791305,0.0,0.0,5.33,90.67,4.0
2016-11-30 07:50:29.776894,0.0,0.0,4.0,96.0,0.0
2016-12-16 07:50:25.657866,0.0,0.0,18.67,81.33,0.0
2017-01-17 07:50:18.653007,0.0,0.0,78.67,20.0,1.33
2017-02-18 07:50:05.187439,44.0,9.33,20.0,25.33,1.33
2017-03-22 07:49:48.258453,38.67,25.33,30.67,4.0,1.33
2017-05-25 07:49:42.319816,0.0,0.0,76.0,22.67,1.33
2017-07-12 07:49:58.131585,0.0,0.0,66.67,28.0,5.33
2017-08-13 07:50:12.088450,0.0,0.0,73.33,26.67,0.0
2017-08-29 07:50:15.727495,0.0,0.0,68.0,30.67,1.33
2017-09-14 07:50:16.054608,0.0,0.0,48.0,49.33,2.67
2017-09-30 07:50:23.560819,0.0,0.0,0.0,100.0,0.0
2017-10-16 07:50:27.434052,0.0,0.0,0.0,98.67,1.33
2017-11-17 07:50:23.929751,0.0,0.0,0.0,96.0,4.0
2017-12-03 07:50:18.594885,0.0,0.0,0.0,97.33,2.67
2017-12-19 07:50:21.378014,0.0,0.0,61.33,38.67,0.0
2018-01-04 07:50:17.797336,0.0,100.0,0.0,0.0,0.0
2018-02-05 07:50:01.295379,100.0,0.0,0.0,0.0,0.0
2018-02-21 07:49:55.745123,98.67,1.33,0.0,0.0,0.0
2018-03-09 07:49:47.368651,100.0,0.0,0.0,0.0,0.0
2018-04-10 07:49:31.681172,88.0,8.0,4.0,0.0,0.0
2018-05-28 07:49:00.165768,88.0,12.0,0.0,0.0,0.0
2018-07-15 07:49:19.947521,40.0,18.67,10.67,25.33,5.33
2018-08-16 07:49:36.232273,21.33,14.67,26.67,6.67,30.67
2018-10-19 07:50:01.503932,0.0,1.33,85.33,13.33,0.0
2018-12-06 07:50:03.701386,0.0,0.0,68.0,32.0,0.0
2019-02-08 07:49:55.309265,0.0,0.0,88.0,12.0,0.0
2019-03-12 07:49:46.524709,0.0,0.0,94.67,5.33,0.0
2019-03-28 07:49:43.229867,0.0,0.0,94.67,5.33,0.0
2019-04-29 07:49:34.357600,0.0,0.0,89.33,10.67,0.0
2019-05-15 07:49:44.161253,0.0,0.0,96.0,2.67,1.33
2019-06-16 07:49:59.706527,0.0,0.0,92.0,6.67,1.33
