Datetime,wofs_area_percent,wet_percent,green_veg_percent,dry_veg_percent,bare_soil_percent
2013-07-17 07:52:08.151962,0.0,0.0,37.53,62.2,0.27
2013-08-02 07:52:10.098924,0.0,0.0,12.6,87.13,0.27
2013-08-18 07:52:10.890935,0.0,0.0,4.02,93.83,2.14
2013-09-03 07:52:12.173735,0.0,0.0,3.75,72.65,23.59
2013-09-19 07:52:06.400338,0.0,0.0,2.95,69.97,27.08
2013-10-21 07:51:58.331414,0.0,0.0,0.8,41.55,57.64
2014-06-02 07:49:46.744610,2.95,5.63,82.57,8.85,0.0
2014-06-18 07:49:52.598464,0.54,3.75,39.68,55.76,0.27
2014-07-04 07:49:58.041658,0.0,2.68,17.16,80.16,0.0
2014-07-20 07:50:02.308300,0.0,0.0,7.51,92.49,0.0
2014-08-05 07:50:10.372338,0.0,0.0,5.9,93.83,0.27
2014-08-21 07:50:14.442009,0.0,0.0,5.09,93.3,1.61
2014-09-22 07:50:15.627020,0.0,0.0,1.07,97.59,1.34
2014-10-24 07:50:22.922396,0.0,0.0,0.27,99.2,0.54
2014-11-09 07:50:23.856198,0.0,0.0,0.0,92.49,7.51
2014-11-25 07:50:20.965742,0.0,0.0,0.0,93.3,6.7
2014-12-11 07:50:14.512932,0.0,0.0,0.0,78.82,21.18
2014-12-27 07:50:14.469349,98.12,1.61,0.0,0.27,0.0
2015-02-13 07:49:58.516367,25.47,58.98,14.21,1.07,0.27
2015-04-18 07:49:32.563636,71.31,28.42,0.0,0.27,0.0
2015-05-04 07:49:20.027270,25.2,-0.27,70.24,0.8,4.02
2015-06-05 07:49:20.614214,1.07,8.85,40.75,49.33,0.0
2015-06-21 07:49:28.698699,1.07,1.34,13.4,83.38,0.8
2015-07-23 07:49:45.343779,0.0,0.0,0.27,98.93,0.8
2015-08-24 07:49:56.377378,0.0,0.0,0.0,94.37,5.63
2015-09-09 07:50:02.478251,0.0,0.0,0.0,93.57,6.43
2015-09-25 07:50:09.525497,0.0,0.0,0.0,93.57,6.43
2015-10-11 07:50:10.563673,0.0,0.0,0.0,93.83,6.17
2015-12-30 07:50:16.748302,93.83,5.09,0.27,0.8,0.0
2016-02-16 07:50:04.962792,48.79,51.21,0.0,0.0,0.0
2016-03-19 07:49:57.486096,2.95,3.22,93.57,0.27,0.0
2016-04-20 07:49:42.509413,34.32,58.18,7.24,0.27,0.0
2016-06-23 07:49:56.059698,0.27,2.68,27.61,68.9,0.54
2016-07-09 07:50:04.599363,0.0,0.8,15.82,83.38,0.0
2016-08-10 07:50:11.601173,0.0,0.0,5.09,94.91,0.0
2016-08-26 07:50:18.787629,0.27,5.09,5.9,85.25,3.49
2016-09-11 07:50:23.221811,0.0,0.0,3.49,95.17,1.34
2016-09-27 07:50:23.622881,0.0,0.0,1.88,98.12,0.0
2016-10-13 07:50:29.014527,0.0,0.0,0.8,95.71,3.49
2016-10-29 07:50:30.852675,0.0,0.0,0.0,92.76,7.24
2016-11-30 07:50:29.776894,0.0,0.0,0.0,93.83,6.17
2017-01-17 07:50:18.653007,0.0,0.0,0.0,100.0,0.0
2017-02-02 07:50:11.695014,0.0,0.0,0.0,100.0,0.0
2017-02-18 07:50:05.187439,21.72,24.93,15.01,36.19,2.14
2017-03-06 07:49:58.482453,82.04,17.69,0.0,0.27,0.0
2017-04-07 07:49:41.483598,1.07,-1.07,60.86,0.0,39.14
2017-04-23 07:49:31.809667,0.8,5.09,93.83,0.0,0.27
2017-07-12 07:49:58.131585,0.0,0.0,2.95,96.25,0.8
2017-07-28 07:50:05.931049,0.0,0.0,1.07,98.66,0.27
2017-08-13 07:50:12.088450,0.0,0.0,0.8,98.66,0.54
2017-08-29 07:50:15.727495,0.0,0.0,0.27,97.86,1.88
2017-09-30 07:50:23.560819,0.0,0.0,0.0,92.76,7.24
2017-11-17 07:50:23.929751,0.0,0.0,0.0,89.01,10.99
2018-02-05 07:50:01.295379,71.31,26.54,1.88,0.27,0.0
2018-04-10 07:49:31.681172,4.83,20.38,68.36,1.88,4.56
2018-05-28 07:49:00.165768,4.02,17.43,28.69,49.33,0.54
2018-06-13 07:49:01.907849,0.54,1.07,21.45,75.34,1.61
2018-07-15 07:49:19.947521,0.0,0.0,4.56,94.64,0.8
2018-08-16 07:49:36.232273,0.0,0.0,1.07,96.78,2.14
2018-09-17 07:49:47.576854,0.0,0.0,0.0,68.9,31.1
2018-11-20 07:50:05.907411,0.0,0.0,0.0,95.17,4.83
2018-12-06 07:50:03.701386,0.0,0.0,0.0,100.0,0.0
2019-01-07 07:50:01.477937,49.33,10.19,9.38,30.83,0.27
2019-02-08 07:49:55.309265,24.4,38.61,34.32,1.88,0.8
2019-03-12 07:49:46.524709,10.19,33.78,56.03,0.0,0.0
2019-06-16 07:49:59.706527,1.34,1.34,46.38,50.94,0.0
