Datetime,wofs_area_percent,wet_percent,green_veg_percent,dry_veg_percent,bare_soil_percent
2013-06-15 07:52:08.150795,93.92,1.35,0.01,3.68,1.04
2013-07-01 07:52:07.976413,92.79,0.97,0.07,4.61,1.56
2013-07-17 07:52:08.151962,91.31,1.09,0.1,5.07,2.44
2013-08-02 07:52:10.098924,89.67,1.17,0.14,7.06,1.96
2013-08-18 07:52:10.890935,88.2,1.1,0.08,8.3,2.32
2013-09-03 07:52:12.173735,85.19,1.81,0.16,6.35,6.49
2013-09-19 07:52:06.400338,81.85,2.97,0.18,11.1,3.9
2013-10-21 07:51:58.331414,76.5,1.8,1.22,13.45,7.04
2013-12-08 07:51:46.344857,74.7,1.13,0.06,21.59,2.51
2014-01-25 07:51:17.130913,87.52,1.79,0.39,9.27,1.04
2014-02-26 07:50:51.722423,88.94,1.26,0.46,6.24,3.1
2014-05-17 07:49:41.374226,89.87,1.06,0.11,6.89,2.06
2014-06-02 07:49:46.744610,88.32,1.26,0.11,7.69,2.63
2014-06-18 07:49:52.598464,86.87,1.32,0.07,8.86,2.88
2014-07-04 07:49:58.041658,85.19,1.16,0.11,8.63,4.91
2014-07-20 07:50:02.308300,82.99,1.63,0.01,12.03,3.33
2014-08-05 07:50:10.372338,81.4,1.26,0.02,10.97,6.35
2014-08-21 07:50:14.442009,78.89,1.57,0.05,11.19,8.3
2014-09-22 07:50:15.627020,67.05,1.86,0.8,16.79,13.51
2014-11-25 07:50:20.965742,62.75,1.48,0.0,25.02,10.74
2014-12-11 07:50:14.512932,64.83,1.18,0.06,25.93,8.0
2015-02-13 07:49:58.516367,89.19,1.0,0.21,5.71,3.9
2015-03-17 07:49:45.200590,86.76,1.54,0.18,6.43,5.08
2015-04-18 07:49:32.563636,89.06,1.35,0.28,4.62,4.68
2015-05-20 07:49:12.459698,86.59,1.18,0.29,6.7,5.24
2015-06-05 07:49:20.614214,82.28,1.05,1.4,10.2,5.07
2015-06-21 07:49:28.698699,83.62,0.99,0.08,9.25,6.06
2015-07-07 07:49:38.116935,82.57,0.93,0.21,12.91,3.38
2015-07-23 07:49:45.343779,79.75,1.15,0.08,11.58,7.45
2015-08-08 07:49:48.180806,77.86,1.23,0.07,10.78,10.05
2015-09-09 07:50:02.478251,71.94,1.24,0.05,9.81,16.96
2015-12-30 07:50:16.748302,82.28,0.76,3.02,10.02,3.92
2016-02-16 07:50:04.962792,99.69,0.23,0.04,0.02,0.02
2016-03-03 07:50:03.182265,98.66,0.97,0.04,0.19,0.14
2016-03-19 07:49:57.486096,99.52,0.33,0.02,0.1,0.04
2016-05-06 07:49:45.803876,98.85,0.7,0.11,0.19,0.14
2016-06-07 07:49:50.816600,98.97,0.76,0.02,0.21,0.04
2016-06-23 07:49:56.059698,97.86,1.21,0.01,0.65,0.27
2016-07-09 07:50:04.599363,96.21,1.48,0.04,1.74,0.53
2016-07-25 07:50:09.696739,93.57,2.06,0.07,3.65,0.65
2016-08-10 07:50:11.601173,92.87,1.28,0.13,5.06,0.66
2016-08-26 07:50:18.787629,89.22,1.45,0.99,6.9,1.44
2016-09-11 07:50:23.221811,85.56,1.21,0.34,9.35,3.54
2016-09-27 07:50:23.622881,86.26,1.68,0.33,8.84,2.9
2016-10-29 07:50:30.852675,76.99,1.46,0.41,14.99,6.14
2016-11-30 07:50:29.776894,77.14,2.46,0.24,17.26,2.9
2017-01-17 07:50:18.653007,77.51,2.46,0.21,16.51,3.31
2017-02-02 07:50:11.695014,79.86,3.11,1.64,13.71,1.68
2017-02-18 07:50:05.187439,80.92,1.0,0.3,14.35,3.43
2017-03-22 07:49:48.258453,92.36,1.3,0.28,4.3,1.76
2017-06-10 07:49:50.223968,90.33,1.0,0.12,6.29,2.26
2017-06-26 07:49:55.418906,87.72,0.93,1.26,7.91,2.18
2017-07-12 07:49:58.131585,87.04,1.42,0.07,8.18,3.28
2017-07-28 07:50:05.931049,85.25,1.56,0.06,9.23,3.9
2017-08-13 07:50:12.088450,82.81,1.64,0.06,11.08,4.41
2017-08-29 07:50:15.727495,80.78,1.33,0.05,11.16,6.67
2017-09-14 07:50:16.054608,75.98,1.5,0.6,12.66,9.26
2017-09-30 07:50:23.560819,55.53,7.02,1.05,17.13,19.26
2017-10-16 07:50:27.434052,70.2,0.99,1.11,17.14,10.56
2017-11-17 07:50:23.929751,62.91,1.8,0.14,24.85,10.3
2018-01-04 07:50:17.797336,0.0,97.74,0.0,2.26,0.0
2018-02-05 07:50:01.295379,82.96,0.8,0.22,9.19,6.84
2018-03-25 07:49:39.780826,84.94,0.84,0.41,8.56,5.25
2018-05-12 07:49:12.725755,87.62,1.1,0.45,7.4,3.44
2018-05-28 07:49:00.165768,85.81,1.16,0.43,7.1,5.5
2018-06-13 07:49:01.907849,74.56,0.89,5.62,13.65,5.27
2018-06-29 07:49:12.128021,74.6,1.52,4.42,13.78,5.67
2018-07-15 07:49:19.947521,80.52,1.34,0.16,10.08,7.91
2018-08-16 07:49:36.232273,75.16,1.24,0.1,14.29,9.21
2018-09-01 07:49:43.088182,71.88,1.63,0.07,14.67,11.76
2018-11-20 07:50:05.907411,40.43,3.22,0.72,32.21,23.4
2019-03-12 07:49:46.524709,94.67,1.53,0.57,2.06,1.17
2019-04-13 07:49:38.304819,85.9,6.12,0.72,5.96,1.29
2019-05-15 07:49:44.161253,89.51,2.81,1.04,4.3,2.34
2019-05-31 07:49:53.055886,91.01,1.3,0.48,6.22,0.99
2019-06-16 07:49:59.706527,89.92,1.17,0.27,6.43,2.21
